id,species,location_type,location_coordinates_0,location_coordinates_1
2c45a579-bea7-40d9-b008-b195291ce6c0,FUNESTUS COMPLEX,Point,34.527339,0.106103
2c75279c-a5ed-4559-9fb5-3e96e2f82fef,FUNESTUS COMPLEX,Point,46.2167,-19.3833
2df21218-fbe3-4375-a9a6-5d49a989a95e,FUNESTUS COMPLEX,Point,13.507,9.398
2eec6ab2-c672-40aa-a671-1aa288b942f0,FUNESTUS COMPLEX,Point,34.7483,0.167
2ff9dd60-70ec-41ae-88d8-711d6ed7dd34,FUNESTUS COMPLEX,Point,8.548,3.455
312e8300-ad28-4e99-8f7f-432520e55ea3,FUNESTUS COMPLEX,Point,37.45,-0.5667
3173538c-3a84-439c-abe2-ddd612c549f6,FUNESTUS COMPLEX,Point,37.409,-0.606
31832194-9a24-4d5b-aa7d-316f471aa7e5,FUNESTUS COMPLEX,Point,37.45,-0.5667
31a4a460-eca9-471b-be18-153f103db7f4,FUNESTUS COMPLEX,Point,34.54005,0.106362
31d6e7d5-a1dd-45d2-88c9-dfc4f8a4ef38,FUNESTUS COMPLEX,Point,34.7483,0.167
31f81c54-7815-4e65-910b-7ca3be308dec,FUNESTUS COMPLEX,Point,46.2167,-19.3833
32d493b9-93f6-4b05-835d-a31377552488,FUNESTUS COMPLEX,Point,37.409,-0.606
357c4399-bd10-4a65-9ffa-11e49e7e61e1,FUNESTUS COMPLEX,Point,-5.4,6.866
36332938-ba06-45a5-ab2a-5899e130ac58,FUNESTUS COMPLEX,Point,8.7167,3.7833
365dd4e8-e240-44ff-b2af-f3940dc30452,FUNESTUS COMPLEX,Point,34.5167,-0.1
378723ca-bf36-4dcb-8840-6d31649b9cb1,FUNESTUS COMPLEX,Point,32.217,-27.333
386168c2-d10c-4959-8ce7-2fbdda73762f,FUNESTUS COMPLEX,Point,-15.434,15.667
3873ab92-7b20-4364-b845-e23d14cf8111,FUNESTUS COMPLEX,Point,32.645,-25.02
38aba93f-8799-42fc-985c-bb34f2415505,FUNESTUS COMPLEX,Point,34.292,-0.482
3a149428-6124-4087-99c6-c1d410f86622,FUNESTUS COMPLEX,Point,-8.268,12.2
3b442978-943e-48a8-a1f8-2754e630ebee,FUNESTUS COMPLEX,Point,8.755,3.398
3b5423d0-3148-4a03-86c6-a00c398ce9c1,FUNESTUS COMPLEX,Point,8.7167,3.7833
3c28715c-9ac5-4536-b83c-f80b49711ea5,FUNESTUS COMPLEX,Point,32.865,-24.799
3d7e4efd-bc5d-4b94-9c2d-cd9e64fa9b16,FUNESTUS COMPLEX,Point,46.2167,-19.3833
3dc86cc0-aab7-45a9-bffe-b91383228cad,FUNESTUS COMPLEX,Point,37.3446,-0.6981
3df01516-d232-4782-925e-c79935d75b36,FUNESTUS COMPLEX,Point,37.3585,-0.7109
3e788dac-1a11-4b59-b5c4-ce87c1137a3a,FUNESTUS COMPLEX,Point,13.675,9.075
400001d7-c293-4d6c-9c80-cf83682db42f,FUNESTUS COMPLEX,Point,34.7667,-0.7
40398660-1f8a-4aa2-8ac5-49fb4c63bd2e,FUNESTUS COMPLEX,Point,46.417,-19
41d2c5a0-eac2-4a5f-bc6d-cd5903ff0317,FUNESTUS COMPLEX,Point,8.833,3.717
41f99bd0-0ede-45cb-bdf6-e8efcb83192c,FUNESTUS COMPLEX,Point,8.833,3.717
42786eda-0e4d-4c88-be16-eb864d9e36b6,FUNESTUS COMPLEX,Point,8.7,3.5
42af6e3f-fdce-4395-af1e-7664f6614464,FUNESTUS COMPLEX,Point,32.783,-25.033
42daa488-95e8-4a4c-8c8e-fe74238aa46e,FUNESTUS COMPLEX,Point,34.94,-0.87
431760f5-f5dc-4631-9b60-d7b83d11b882,FUNESTUS COMPLEX,Point,34.916,-0.183
46c2c797-dca3-4fec-8577-c70d531132fb,FUNESTUS COMPLEX,Point,37.409,-0.606
4714c74b-962c-4ba9-b699-cdcadba95c91,FUNESTUS COMPLEX,Point,29.999,-0.85
47315c71-b51b-4363-92c7-cb27d9198501,FUNESTUS COMPLEX,Point,13.507,9.398
47c3a55c-d9fb-435f-9fbf-1374eeb6e4bd,FUNESTUS COMPLEX,Point,29.999,-0.85
4a992965-0943-4b4c-a897-67b73a8c9384,FUNESTUS COMPLEX,Point,29.999,-0.85
4b7967c6-620c-4826-8541-3f5f2c2b8d22,FUNESTUS COMPLEX,Point,34.7991,-0.5794
4b967e32-ca78-4b95-b395-eae5721b0541,FUNESTUS COMPLEX,Point,-3.968,5.249
